PTY,DISTRICT_N,VOTES
I,1902,94
R,1902,1083
I,1903,221
R,1903,1999
I,1904,146
R,1904,1415
I,1906,86
R,1906,714
I,1907,975
R,1907,4992
I,1908,331
R,1908,2151
I,1909,122
R,1909,1233
I,2901,383
R,2901,4143
D,3902,501
I,3902,66
R,3902,2619
D,3903,4547
I,3903,260
R,3903,9378
D,3904,341
I,3904,52
R,3904,3139
D,3905,688
I,3905,51
R,3905,1657
D,3906,137
I,3906,18
R,3906,972
D,3907,535
I,3907,72
R,3907,2924
D,4901,2221
R,4901,6915
I,5901,91
R,5901,1298
I,5902,146
R,5902,1785
I,5904,18
R,5904,393
I,6902,87
R,6902,813
D,7901,395
I,7901,15
R,7901,330
D,7902,1172
I,7902,46
R,7902,1450
D,7904,790
I,7904,48
R,7904,1078
D,7905,2237
I,7905,93
R,7905,2908
D,7906,1358
I,7906,49
R,7906,1061
D,8901,784
I,8901,143
R,8901,5212
D,8902,978
I,8902,133
R,8902,4053
D,8903,345
I,8903,15
R,8903,1156
I,9901,67
R,9901,1048
D,10901,217
I,10901,95
R,10901,1345
D,10902,1262
I,10902,441
R,10902,6494
D,11901,6468
I,11901,457
R,11901,10209
D,11902,2585
I,11902,307
R,11902,3185
D,11904,1494
I,11904,129
R,11904,3363
D,11905,190
I,11905,42
R,11905,454
I,12901,96
R,12901,1270
D,13901,2585
R,13901,2618
D,13902,131
I,13902,4
R,13902,333
D,13903,352
I,13903,4
R,13903,868
D,13905,650
R,13905,971
D,14901,426
I,14901,96
R,14901,1853
D,14902,228
I,14902,31
R,14902,652
D,14903,4132
I,14903,868
R,14903,14308
D,14905,173
I,14905,50
R,14905,974
D,14906,21750
I,14906,1891
R,14906,21398
D,14907,222
I,14907,64
R,14907,1314
D,14908,637
I,14908,160
R,14908,3043
D,14909,5104
I,14909,619
R,14909,8960
D,14910,691
I,14910,140
R,14910,2681
D,15901,5443
I,15901,757
R,15901,8551
D,15904,10607
I,15904,946
R,15904,1332
D,15905,9847
I,15905,704
R,15905,19
D,15906,84
I,15906,20
R,15906,201
D,15907,57315
I,15907,4927
R,15907,10206
D,15908,7966
I,15908,830
R,15908,647
D,15909,1565
I,15909,186
R,15909,1499
D,15910,63931
I,15910,9688
R,15910,81686
D,15911,7964
I,15911,659
R,15911,7486
D,15912,6843
I,15912,976
R,15912,2819
D,15913,116
I,15913,85
R,15913,32
D,15914,340
I,15914,77
R,15914,406
D,15915,114485
I,15915,33319
R,15915,25108
D,15916,21933
I,15916,1506
R,15916,16365
D,15917,3009
I,15917,330
R,15917,2110
D,16901,800
I,16901,169
R,16901,2483
D,16902,981
I,16902,285
R,16902,3756
I,17901,14
R,17901,338
D,18901,399
I,18901,54
R,18901,1953
D,18902,199
I,18902,29
R,18902,1034
D,18903,58
I,18903,6
R,18903,277
D,18904,277
I,18904,41
R,18904,1495
D,18905,92
I,18905,9
R,18905,347
D,18906,79
I,18906,12
R,18906,470
D,18907,176
I,18907,18
R,18907,732
D,18908,85
I,18908,10
R,18908,486
I,19901,158
R,19901,1671
I,19902,231
R,19902,1862
I,19903,38
R,19903,430
I,19905,266
R,19905,1971
I,19906,183
R,19906,2078
I,19907,1742
R,19907,6358
I,19908,829
R,19908,3880
I,19909,149
R,19909,1908
I,19910,12
R,19910,188
I,19911,84
R,19911,680
I,19912,575
R,19912,4404
I,19913,14
R,19913,184
I,19914,41
R,19914,455
D,20901,15006
R,20901,21913
D,20902,4110
R,20902,10606
D,20904,202
R,20904,1234
D,20905,5169
R,20905,12617
D,20906,948
R,20906,2870
D,20907,1694
R,20907,6314
D,20908,13998
R,20908,23082
D,20910,36
R,20910,287
D,21901,10043
I,21901,1732
R,21901,23060
D,21902,9187
I,21902,1268
R,21902,19117
D,22004,163
I,22004,15
R,22004,118
D,22901,1792
I,22901,92
R,22901,1479
D,22902,239
I,22902,16
R,22902,290
D,22903,50
I,22903,3
R,22903,29
I,23902,32
R,23902,435
D,24901,1972
I,24901,128
R,24901,396
I,25901,132
R,25901,2285
I,25902,356
R,25902,4020
I,25904,40
R,25904,610
I,25905,61
R,25905,871
I,25906,41
R,25906,548
I,25908,82
R,25908,1295
I,25909,152
R,25909,2227
D,26901,727
I,26901,88
R,26901,3256
D,26902,261
I,26902,24
R,26902,987
D,26903,393
I,26903,26
R,26903,1160
D,27903,1817
I,27903,449
R,27903,8429
D,27904,2537
I,27904,385
R,27904,8348
D,28902,3876
I,28902,131
R,28902,4278
D,28903,625
I,28903,8
R,28903,1346
D,28906,243
I,28906,9
R,28906,336
D,29901,2140
R,29901,4613
I,30901,85
R,30901,1369
I,30902,143
R,30902,1828
I,30903,119
R,30903,1692
I,30906,195
R,30906,2038
D,31901,30276
R,31901,8762
D,31903,11083
R,31903,8167
D,31905,2388
R,31905,1524
D,31906,7836
R,31906,4134
D,31909,2083
R,31909,1528
D,31911,1413
R,31911,1024
D,31912,5623
R,31912,2579
D,31913,454
R,31913,127
D,31914,530
R,31914,177
D,32902,4
I,32902,592
R,32902,3503
I,33901,37
R,33901,396
I,33902,120
R,33902,1584
I,33904,96
R,33904,758
I,34901,334
R,34901,3469
I,34902,63
R,34902,533
I,34903,186
R,34903,1434
I,34905,199
R,34905,1785
I,34906,12
R,34906,262
I,34907,141
R,34907,1473
I,34909,49
R,34909,688
I,35901,137
R,35901,914
I,35902,43
R,35902,177
I,35903,4
R,35903,191
I,36901,333
R,36901,3616
I,36902,454
R,36902,6798
I,36903,102
R,36903,1381
I,37901,136
R,37901,1076
I,37904,856
R,37904,6099
D,37907,15
I,37907,375
R,37907,3254
I,37908,69
R,37908,370
D,37909,8
I,37909,54
R,37909,465
I,38901,90
R,38901,1593
I,39902,168
R,39902,1992
I,39903,99
R,39903,1256
I,39904,21
R,39904,415
I,39905,34
R,39905,643
I,40901,53
R,40901,394
I,40902,75
R,40902,635
I,41901,47
R,41901,711
I,41902,30
R,41902,540
I,42901,73
R,42901,1325
I,42903,59
R,42903,686
I,42905,88
R,42905,1254
D,43901,13873
I,43901,1638
R,43901,23316
D,43902,481
I,43902,492
R,43902,3422
D,43903,250
I,43903,402
R,43903,4033
D,43904,122
I,43904,270
R,43904,2617
