"","PTY","NEW","VOTES"
"1","D",1,115469
"2","I",1,2333
"3","R",1,44060
"4","D",2,42965
"5","I",2,128
"6","R",2,42975
"7","D",3,8595
"8","I",3,102
"9","R",3,22211
"10","D",4,385100
"11","I",4,10870
"12","R",4,488006
"13","D",5,16221
"14","I",5,599
"15","R",5,35740
"16","",6,0
"17","D",6,7065
"18","I",6,1223
"19","R",6,31925
"20","D",7,30025
"21","I",7,7288
"22","R",7,132214
"23","D",8,4
"24","I",8,12081
"25","R",8,87752
"26","D",9,37
"27","I",9,7156
"28","R",9,64309
"29","D",10,147086
"30","I",10,34734
"31","R",10,249943
"32","D",11,195840
"33","I",11,16516
"34","R",11,312992
"35","D",12,40123
"36","I",12,5044
"37","R",12,81313
"38","D",13,137705
"39","I",13,17880
"40","R",13,209018
"41","I",14,9396
"42","R",14,72973
"43","D",15,7337
"44","I",15,6972
"45","R",15,68562
"46","I",16,2579
"47","R",16,27664
"48","I",17,2273
"49","R",17,23850
"50","D",18,10235
"51","I",18,4904
"52","R",18,40512
"53","D",19,50387
"54","I",19,7229
"55","R",19,449
"56","D",20,138513
"57","I",20,11799
"58","R",20,69139
"59","D",21,431648
"60","I",21,30564
"61","R",21,428089
"62","D",22,249787
"63","I",22,104654
"64","R",22,486531
"65","D",23,159448
"66","I",23,25103
"67","R",23,393064
"68","D",24,307061
"69","I",24,37782
"70","R",24,257915
"71","D",25,220455
"72","I",25,48925
"73","R",25,175991
"74","D",26,32312
"75","I",26,5991
"76","R",26,137806
"77","D",27,125977
"78","I",27,6049
"79","R",27,34568
"80","D",28,36064
"81","I",28,3439
"82","R",28,92850
"83","D",29,116899
"84","I",29,18593
"85","R",29,3053
"86","D",30,39541
"87","I",30,268
"88","R",30,48579
"89","D",31,26004
"90","I",31,4996
"91","R",31,77846
"92","",32,0
"93","D",32,22883
"94","I",32,4609
"95","R",32,67313
"96","",33,0
"97","I",33,10763
"98","R",33,89501
"99","I",34,15238
"100","R",34,85300
"101","I",35,6782
"102","R",35,51232
"103","D",36,18424
"104","I",36,192
"105","R",36,51994
